rank,name,postcode,address,rating,reviewCount,removedRange,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url
1,Restaurant Oberkrainer am Hauptmarkt,90403,"Hauptmarkt 7, 90403 Nürnberg",4.7,3068,über 250,250,,300,8.91,4.37,Über 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Restaurant+Oberkrainer+am+Hauptmarkt/data=!4m7!3m6!1s0x479f57af7bd60d63:0xa32e549d229e6c35!8m2!3d49.4535813!4d11.0765844!16s%2Fg%2F1tggmn0y!19sChIJYw3We69Xn0cRNWyeIp1ULqM?authuser=0&hl=de&rclk=1
2,PROVENZA Trattoria Italia Ristorante Pizzeria,90403,"Hauptmarkt 6-8, 90403 Nürnberg",4.6,1797,über 250,250,,300,14.31,4.085,Über 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/PROVENZA+Trattoria+Italia+Ristorante+Pizzeria/data=!4m7!3m6!1s0x479f57af7dababc7:0xc178cc4fb7cf76ff!8m2!3d49.4534668!4d11.0771551!16s%2Fg%2F1tcxhry_!19sChIJx6urfa9Xn0cR_3bPt0_MeME?authuser=0&hl=de&rclk=1
3,Urfa Dürüm Döner Nürnberg,90402,"Ludwigstraße 81, 90402 Nürnberg",4.6,1295,über 250,250,,300,18.81,3.923,Über 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Urfa+D%C3%BCr%C3%BCm+D%C3%B6ner+N%C3%BCrnberg/data=!4m7!3m6!1s0x479f57aa17fc5a51:0x63434a3264761043!8m2!3d49.4484929!4d11.067411!16s%2Fg%2F11b7lc9wdc!19sChIJUVr8F6pXn0cRQxB2ZDJKQ2M?authuser=0&hl=de&rclk=1
4,Konditorei Cafe Beer,90402,"Breite G. 79, 90402 Nürnberg",4.6,1733,201–250,201,250,225.5,11.51,4.185,201 bis 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Konditorei+Cafe+Beer/data=!4m7!3m6!1s0x479f57a91df2fecd:0xed1fc6c31a6ae841!8m2!3d49.450152!4d11.07243!16s%2Fg%2F1tfq86p2!19sChIJzf7yHalXn0cRQehqGsPGH-0?authuser=0&hl=de&rclk=1
5,Original Berliner Döner,90478,"Dürrenhofstraße 49, 90478 Nürnberg",4.8,1680,201–250,201,250,225.5,11.83,4.35,201 bis 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Original+Berliner+D%C3%B6ner/data=!4m7!3m6!1s0x479f579814498cfd:0x1f8b466847fee3ba!8m2!3d49.4452625!4d11.0977342!16s%2Fg%2F11s7wjx6y3!19sChIJ_YxJFJhXn0cRuuP-R2hGix8?authuser=0&hl=de&rclk=1
6,Maestro,90402,"Königstraße 53, 90402 Nürnberg",4.4,1160,151–200,151,200,175.5,13.14,3.953,151 bis 200 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Maestro/data=!4m7!3m6!1s0x479f57a6f05417b9:0x4f15b38673c25e1d!8m2!3d49.4493101!4d11.0796576!16s%2Fg%2F11b_033pvn!19sChIJuRdU8KZXn0cRHV7Cc4azFU8?authuser=0&hl=de&rclk=1
7,Hotel Daucher sleep hotels Nürnberg,90475,"Habsburgerstraße 9, 90475 Nürnberg",4.3,368,151–200,151,200,175.5,32.29,3.234,151 bis 200 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hotel+Daucher+sleep+hotels+N%C3%BCrnberg/data=!4m10!3m9!1s0x479f596fcfbf995d:0x1f4b87cdefaa091b!5m2!4m1!1i2!8m2!3d49.4083568!4d11.1691161!16s%2Fg%2F1tfcxt69!19sChIJXZm_z29Zn0cRGwmq782HSx8?authuser=0&hl=de&rclk=1
8,Mevlana Restaurant,90443,"Gostenhofer Hauptstraße 18, 90443 Nürnberg",4.5,3853,101–150,101,150,125.5,3.15,4.39,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Mevlana+Restaurant/data=!4m7!3m6!1s0x479f570081197793:0xc9603b4561c549d0!8m2!3d49.4472304!4d11.0649064!16s%2Fg%2F1tgyvpw6!19sChIJk3cZgQBXn0cR0EnFYUU7YMk?authuser=0&hl=de&rclk=1
9,dasPaul Restaurant & Hotel,90403,"Kaiserstraße 22, 90403 Nürnberg",4.3,2766,101–150,101,150,125.5,4.34,4.157,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/dasPaul+Restaurant+%26+Hotel/data=!4m7!3m6!1s0x479f57af468356ed:0xf8bf7e4ef84efda1!8m2!3d49.4524476!4d11.0754605!16s%2Fg%2F11cm_gzn70!19sChIJ7VaDRq9Xn0cRof1O-E5-v_g?authuser=0&hl=de&rclk=1
10,KOKORO NÜRNBERG (AM NEUEN MUSEUM),90402,"Am Neuen Museum, Luitpoldstraße 3, 90402 Nürnberg",4.6,2316,101–150,101,150,125.5,5.14,4.415,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/KOKORO+N%C3%9CRNBERG+%28AM+NEUEN+MUSEUM%29/data=!4m7!3m6!1s0x479f57a73d324125:0x1f2e1ea9639295f9!8m2!3d49.4478617!4d11.0802849!16s%2Fg%2F11b6_gt5j2!19sChIJJUEyPadXn0cR-ZWSY6keLh8?authuser=0&hl=de&rclk=1
11,Tucher Mautkeller Nürnberg,90402,"Hallpl. 2, 90402 Nürnberg",4.5,1733,101–150,101,150,125.5,6.75,4.264,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Tucher+Mautkeller+N%C3%BCrnberg/data=!4m7!3m6!1s0x479f57ab88a06213:0xc9b8d8aa39691918!8m2!3d49.4494178!4d11.0790935!16s%2Fg%2F11r_v26rfl!19sChIJE2KgiKtXn0cRGBlpOarYuMk?authuser=0&hl=de&rclk=1
12,CôCô – Indochine Sushi Nürnberg,90403,"Augustinerstraße 1, 90403 Nürnberg",4.8,1643,101–150,101,150,125.5,7.1,4.53,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/C%C3%B4C%C3%B4+%E2%80%93+Indochine+Sushi+N%C3%BCrnberg/data=!4m7!3m6!1s0x479f57afa1de8e67:0xb69295a98e74b879!8m2!3d49.4541424!4d11.0755516!16s%2Fg%2F11c0r2x57p!19sChIJZ47eoa9Xn0cRebh0jqmVkrY?authuser=0&hl=de&rclk=1
13,Mam-Mam Burger,90403,"Innere Laufer G. 13, 90403 Nürnberg",4.7,1581,101–150,101,150,125.5,7.35,4.428,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Mam-Mam+Burger/data=!4m7!3m6!1s0x479f57bab7528031:0xbebae7ac62f9f736!8m2!3d49.4559159!4d11.0820127!16s%2Fg%2F11b6nyyd2k!19sChIJMYBSt7pXn0cRNvf5Yqznur4?authuser=0&hl=de&rclk=1
14,Kreuzberg Döner Restaurant,90478,"Stephanstraße 17, 90478 Nürnberg",4.9,1568,101–150,101,150,125.5,7.41,4.611,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Kreuzberg+D%C3%B6ner+Restaurant/data=!4m7!3m6!1s0x479f574515647959:0xc40fc0d4c82addad!8m2!3d49.4460561!4d11.0977602!16s%2Fg%2F11tsk0gt6q!19sChIJWXlkFUVXn0cRrd0qyNTAD8Q?authuser=0&hl=de&rclk=1
15,Espressolab,90409,"Schillerstraße 14, 90409 Nürnberg",4.5,1454,101–150,101,150,125.5,7.95,4.222,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Espressolab/data=!4m7!3m6!1s0x479f5761378dba33:0x81f7d22bf304e82a!8m2!3d49.4644362!4d11.0839984!16s%2Fg%2F11gnsnnm5w!19sChIJM7qNN2FXn0cRKugE8yvS94E?authuser=0&hl=de&rclk=1
